Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cannoli-filled-6-pcs,Cannoli filled 6 pcs,"Traditional cannoli pastry, filled with pistachio, vanilla, and cocoa cream.
180 g",Pennisi - Cannoli di Sicilia,,"","",false,Title,Default Title,,,,,,,,805574207 244 2,180.0,shopify,0,deny,manual,11.75,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/60f9e845e524bb4e430b018a06bd0b36fe7add02f0bfeb0ae33a9443598ad823.jpg?v=1757395811,1,"",false,,,,g,,5.87,draft
cannoli-filled-6-pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1df57f926f7d37f6cc8205ac4c458bc39ee8f8515adbf252286a6bf5cae95df3.jpg?v=1757395813,2,"",,,,,,,,
cannoli-filled-4-pcs,Cannoli filled 4 pcs,"Traditional cannoli pastry, filled with pistachio, vanilla, and cocoa cream. 120 g",Pennisi - Cannoli di Sicilia,,"","",false,Title,Default Title,,,,,,,,'8055742072503,120.0,shopify,0,deny,manual,8.81,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/5bcd928d4f95860c0752f84201c41dd9ffbfeb4c1a0e3b5ad67adefbddfd675e.jpg?v=1757395808,1,"",false,,,,g,,4.40,draft
cannoli-filled-4-pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/284c60656693dd1b4948f33cc29ba89c1ec23a803c6bd4dd16febdf0e06c4583.jpg?v=1757395812,2,"",,,,,,,,
labubu-angel-hair-dubai-chocolate-bar-pink-cotton-candy,LABUBU Angel Hair Dubai Chocolate Bar - Pink Cotton Candy,"* Ships with Foam and Icepack
 TIKTOK FENOMEN'S NEW FAVORITE

LABUBU DUBAI ANGEL HAIR CHOCOLATE BAR - PINK COTTON+PISTACHIO - 3.52 OZ (100 GR)

Decadent Flavor Combo – Smooth chocolate meets fluffy cotton candy, swirled with tangy pomegranate and pistachio.

Versatile Treat – Perfect for gift shops, grocery stores, convenience stores,  birthdays, weddings, or a gourmet dessert experience and more.

Premium Quality – Made with fine ingredients for a rich, velvety texture.

Unique Texture – Crisp chocolate layers with a light, meltaway cotton candy center.

Viral Dubai angel hair chocolate bar (pink cotton candy), pistachio, kataifi , pomegranate 

* Real chocolate
* Real sugar
* No vegetable oil in milky chocolate made with high-quality chocolate material
* New style, famous Dubai chocolate
* Impressive packing for your shelves
* Milky chocolate + white chocolate+ pomegranate flavour pink cotton candy

Chocolate For Shops   75 gr (2.65OZ)
GS1 UPC CODE:8684953587003
Made in Turkiye",Carian's Bistro Chocolates,,"","",false,Title,Default Title,,,,,,,,labubu-pink,75.12623628125,shopify,0,deny,manual,17.90,,true,true,'8684953587164,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/93b7c121e0eef4d6419e9b933bc5850a287d875b42687ede1c3c7098d5d0990b.jpg?v=1757019115,1,"",false,,,,oz,,8.95,draft
labubu-angel-hair-dubai-chocolate-bar-pink-cotton-candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/d545940072ddada5330a38ebc21b3f8178babf8e5645f33e442c830a28a88f86.jpg?v=1757019116,2,"",,,,,,,,
labubu-angel-hair-dubai-chocolate-bar-pink-cotton-candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/2d2cfe71c8b86855917421f9ad584f4047923a797c65e6b5f65c48f17822376f_39d60d9e-1991-4a52-b7d8-9db012ca90c7.jpg?v=1757019115,3,"",,,,,,,,
labubu-angel-hair-dubai-chocolate-bar-pink-cotton-candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/e5d669cdc79033cc6ed901072aa9227b90ee5002d9e1cef448beec41d0778b31.jpg?v=1757019116,4,"",,,,,,,,
viral-labubu-chocolate-bar-chocolate-filling-2-65-oz,Viral LABUBU Chocolate Bar -Chocolate Filling 2.65 OZ,"
Viral Labubu Dubai Chocolate Bar

Meet the magic where mischief meets luxury. The Labubu Chocolate Bar is a playful fusion of the beloved Labubu character and the rich, indulgent taste of premium Chocolate Bar. 

Handcrafted with the finest Belgian chocolate in the shape of the Labubu monster, this bar is more than a treat — it's an experience.

Family-Friendly Treat – Ideal for sharing during family time, parties, or festive occasions.


Chocolate for shops Bite size 75gr (2.65 Oz)
Gs1:8684953587072
Made in Turkiye

 ",Carian's Bistro Chocolates,,"","",false,Title,Default Title,,,,,,,,labubu-milky-chocolate,75.12623628125,shopify,0,deny,manual,14.38,,true,true,'8684953587157,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c03a987ff73088dff68521670ca0be77456d8db47612d61a491e882c792624cc.jpg?v=1757019112,1,"",false,,,,oz,,7.19,draft
viral-labubu-chocolate-bar-chocolate-filling-2-65-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/199b2ebfa02576f70117fbc1cb5d5969a21dbd9f06229fc8e2fadf5865357598.jpg?v=1757019114,2,"",,,,,,,,
viral-labubu-chocolate-bar-chocolate-filling-2-65-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/6f57fe0b79513c14fb7c8b3febad0389386c7f0c5e015b0ccde72c55868784d8.jpg?v=1757019114,3,"",,,,,,,,
viral-labubu-chocolate-bar-chocolate-filling-2-65-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/b5da7d6c96b355f14f2a3dd06a1a9339e6cdced39415d7447ed8abee87073327.jpg?v=1757019114,4,"",,,,,,,,
viral-labubu-chocolate-bar-chocolate-filling-2-65-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/17a99d1fd30548f5b03a3aa90170a997e8c046f5f1771ae2f8b968bbf2c6b027.jpg?v=1757019113,5,"",,,,,,,,
viral-labubu-chocolate-bar-chocolate-filling-2-65-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/2036e8091211a2cfa0f4a015c008241d12c2c3171c68976e43b5f05e22ff6aa5.jpg?v=1757019113,6,"",,,,,,,,
viral-labubu-dubai-chocolate-bar-3-52-oz,Viral Labubu Dubai Chocolate Bar  - 3.52 oz,"Viral Labubu Dubai Chocolate Bar

Meet the magic where mischief meets luxury. The Labubu Dubai Chocolate Bar is a playful fusion of the beloved Labubu character and the rich, indulgent taste of premium Dubai chocolate. 

Handcrafted with the finest Belgian chocolate in the shape of the Labubu monster, this bar is more than a treat — it's an experience.

Family-Friendly Treat – Ideal for sharing during family time, parties, or festive occasions.

",Carian's Bistro Chocolates,,"","",false,Title,Default Title,,,,,,,,labubu-dubai,99.7903214,shopify,0,deny,manual,15.98,,true,true,'8684953587171,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/223220cb6dbfef5728d29ddd1bc60af3b15d7ce80254fb43284b2610322cca47.jpg?v=1757019109,1,"",false,,,,oz,,7.99,draft
viral-labubu-dubai-chocolate-bar-3-52-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/3aac2a4303f1d71813cb4620a077103f8072af3de62dca388f352da50a4aa40b.jpg?v=1757019111,2,"",,,,,,,,
viral-labubu-dubai-chocolate-bar-3-52-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c24547b07002a9a41a88bcf2420daa99f53b1058f84b7ea83cb54dac7358dfa7.jpg?v=1757019111,3,"",,,,,,,,
